year,Total_Fish_production
1981,24.42
1982,24.44
1983,23.67
1984,25.06
1985,28.01
1986,28.76
1987,29.42
1988,29.59
1989,31.52
1990,36.77
1991,38.36
1992,41.57
1993,43.65
1994,46.44
1995,47.89
1996,49.49
1997,53.48
1998,53.88
1999,52.98
2000,56.75
2001,56.56
2002,59.56
2003,62
2004,63.99
2005,63.05
2006,65.72
2007,68.69
2008,71.27
2009,76.16
2010,79.98
2011,82.31
2012,86.66
2013,90.4
2014,95.79
2015,102.6
2016,107.62
2017,114.31
2018,127.04
2019,135.73
2020,141.64
